If	Then	Confidence
B002UDUPP0	B015GPJF2C	0.50
B00BG34G3C	B000H3NRPK	0.83
B007KFQ3E0	B007P28FN0	1.00
B008DD510A	B003A7PB5Y	1.00
B00001TOXD	B00LCVVDOI	0.62
B07CM33RK6	B00KX22PBC	1.00
B07BP31RLV	B003QHZDW4	1.00
B00BZ5PE64	B002N3CE0Q	1.00
B00UM239Y0	B01C8MOSSC	0.67
B004661X8W	B00KQF64EU	1.00
B01NC0KC30	B00IKCMPB2	1.00
B00322XV8Q	B00LCVVDOI	1.00
B002B57MA8	B00322XV8Q	0.67
B000H67LEA	B0042U3F6A	0.50
B07J4VF2C8	B074MN5RRD	1.00
B06WW5SZLV	B074MN5RRD	0.67
B01M3R75G6	B00W9DYBDS	1.00
B00318CBS2	B003AIKE3C	1.00
B00TDNNUMK	B0087UKLR2	1.00
B07KGHWV65	B00BG34G3C	1.00
B001RNO30W	B012S37HQ6	1.00
B00MDU0XCA	B000H3T5HO	1.00
B019NGYG2E	B00WFAGA7A	1.00
B00BIGBAEK	B074N78SXG	1.00
B07BR6RMYS	B00MDU0XCA	0.75
B013O1T4NA	B012S37HQ6	1.00
B01I5QJDZ8	B016C9GLBY	1.00
B00YS65KTS	B07C27N7WM	0.67
B01D10RT22	B012S37HQ6	1.00
B007KFQ3E0	B001SES07C	1.00
B01FQUHACY	B07J4VF2C8	1.00
B07LBZVCQT	B001E2R2M2	1.00
B013O1T4NA	B009A882D0	1.00
B00R9X97YG	B00KQF4VZY	1.00
B01D10RT22	B009A882D0	1.00
B012S37HQ6	B000000XB8	1.00
B0087UKLR2	B001E2R2M2	1.00
B075FY33QD	B075VFSLF2	1.00
B01H5RFYT2	B001V51SIG	0.67
B01EV7JN5K	B07J4VF2C8	0.67
B00001TOXD	B002UDUPP0	0.75
B01C7YZN1C	B07J4VF2C8	1.00
B074N78SXG	B01BVF5CN2	1.00
B00WFAGA7A	B00BZ5S9QG	1.00
B01M3R75G6	B01LF76SJS	1.00
B00322XV8Q	B002UDUPP0	1.00
B008DD5114	B01EV7JN5K	1.00
B003AIKE3C	B07D1TRJ94	1.00
B001EVXRE0	B000H3VFLS	1.00
B00YD39QS2	B001EVXRE0	1.00
B00MDU0XCA	B01LQP6VTG	0.75
B07JHBBGQ9	B001EVXRE0	1.00
B00BMDAEHS	B000H3NRPK	0.67
B00YD39QS2	B00FB3JHVO	1.00
B07JHBBGQ9	B00FB3JHVO	1.00
B06WW5SZLV	B011W56OXS	1.00
B000H3VFLS	B000PLTLNG	1.00
B003ITL74S	B000H3T5HO	0.80
B00T6J4IQI	B01KU4LRW0	1.00
B000A0UO0G	B00001TOXD	0.75
B016C9GLBY	B00T6J4IQI	0.67
B00BMDAEHS	B00236ZCMK	0.67
B00P2D5U7I	B000000XB8	1.00
B0765CR135	B008DD51O6	1.00
B01FR8IDFI	B003IC4W6A	1.00
B00BZ5S9TI	B00LCVVDOI	0.67
B00IKCMPAS	B00UM239Y0	1.00
B007P28FN0	B00318CBS2	1.00
B00284B0AK	B000WNL1G2	1.00
B07LBZVCQT	B002B57MA8	0.67
B000PLTLNG	B00KQF4VZY	1.00
B01KBF01FM	B06WW5SZLV	1.00
B007P28FN0	B00P2D5U7I	1.00
B01LX9T2O1	B07C5F6YDF	1.00
B01EV7JN5K	B001V51SIG	0.67
B012S37HQ6	B01HNOIS4A	1.00
B00P2D5U7I	B00W9DYAIY	1.00
B003QHZARM	B075VFSLF2	1.00
B07FXN39TM	B001E2R2M2	1.00
B07LBZVCQT	B07BR6RMYS	0.67
B01N6X67A8	B01NC0E9X4	1.00
B000ZQ667A	B00SOFZTCW	1.00
B008DD5114	B01H5RFYT2	1.00
B07BP31RLV	B000H3NRPK	1.00
B00YD39QS2	B00KQF64EU	1.00
B01KBF01FM	B008DD510A	1.00
B07JHBBGQ9	B00KQF64EU	1.00
B00BZ5S9QG	B002N3CE0Q	0.67
B00T6J4IQI	B003E8ZORY	1.00
B01N2OZV41	B003A7PB5Y	1.00
B0089B1YSE	B07CKZVG19	1.00
B00T6J4IQI	B016C9GLBY	1.00
B00236ZCMK	B000H3T5HO	1.00
B008DD510A	B01KU4LRW0	1.00
B002KJ3A74	B000H3NRPK	1.00
B00BIGBAEK	B01NAZENBS	1.00
B07BR6RMYS	B01KWX8NU8	0.75
B00BJH4NXS	B00LCVVDOI	1.00
B003QHZAKO	B00BG34G3C	1.00
B003AIKE6E	B01D10RT22	1.00
B003IC4W6A	B074MN5RRD	0.67
B002UDUPP0	B00BMDAEHS	0.50
B00BZ5S9QG	B07FXN39TM	0.67
B00P2D5U7I	B01HNOIS4A	1.00
B001E2R2M2	B00001TOXD	0.88
B00MWQKXTI	B007VITJN8	1.00
B008DD5114	B01N2OZV41	1.00
B002KJ3A74	B00236ZCMK	1.00
B004GGU9QY	B00KX22PBC	1.00
B007FPQ3SQ	B000ZQ667A	1.00
B00BZ5S9QG	B019NGYG2E	0.67
B00J4JWL4G	B0030552C8	0.67
B07KGHTC97	B019NGYG2E	1.00
B01NC0KC30	B01NAZENBS	1.00
B00BZ5S9QG	B001E2R2M2	1.00
B00R9X97YG	B075FY33QD	1.00
B00KQF4VZY	B001EVXRE0	0.67
B002B57MA8	B00BG34FKG	1.00
B00BIGBAEK	B01NAZEPPF	1.00
B06WW5SZLV	B01FI68VQA	0.67
B01LX9T2O1	B000000XB8	1.00
B00NVKOEV2	B00BG34G3C	1.00
B003AIKE6E	B002YAGIOG	1.00
B07KGHTC97	B00BJH25Y2	1.00
B07C54FVYJ	B003QHZAKO	1.00
B00OQ7R9DE	B00F8JH15U	0.67
B00IP8Q9KE	B00001TOXD	1.00
B00J9C5US2	B00J4JWL4G	1.00
B07CM33RK6	B012S37HQ6	1.00
B016C9GLBY	B011W56OXS	1.00
B008DD510A	B003E8ZORY	1.00
B01H5RFYT2	B00T6JFPBK	0.67
B07CM33RK6	B009A882D0	1.00
B00BJH4NXS	B002UDUPP0	1.00
B07JKZR4BP	B00GN3KC6U	0.50
B01NC0KC30	B01NAZEPPF	1.00
B00W9DYAIY	B01M3R75G6	1.00
B00BJH3JT2	B000A0UO0G	1.00
B01HNOIS4A	B002YAGIOG	1.00
B00JMBDTWO	B07JHBBGQ9	1.00
B00P2D5U7I	B013O1T4NA	1.00
B008DD510A	B01FQUHACY	0.67
B008DD5114	B00OQ7R9DE	1.00
B01FI68VQA	B013Y79ZJ2	1.00
B00BJH3JVA	B00BG34G3C	1.00
B00LCVVDOI	B07JKZR4BP	0.60
B07BT98MVN	B07C5F6YDF	1.00
B001EVXRE0	B00KQF4VZY	1.00
B000000XB8	B00KX22PBC	1.00
B001SES07C	B01HNOIS4A	1.00
B01FI68VQA	B003IC4W6A	1.00
B01KWX8NU8	B07BR6RMYS	0.50
B008DD5114	B013Y79ZJ2	1.00
B01KWX8NU8	B00LCVVDOI	0.83
B00I5RKX02	B01KBF01FM	1.00
B000H3NRPK	B00236ZCMK	0.83
B00W9DYBDS	B003AIKE6E	1.00
B00BIGBAEK	B00J9C5US2	1.00
B00W9DYBDS	B01D10RT22	1.00
B07B7L8C6K	B003QHZARM	0.67
B003A7PB5Y	B008DD510A	1.00
B003AIKE3C	B00318CBS2	1.00
B01FQUHACY	B00T6JFPBK	1.00
B003IC4W6A	B01KBF01FM	0.67
B00BZ5S9QG	B00WFAGA7A	0.67
B00BMDAEHS	B00BG34G3C	1.00
B00P2D5U7I	B00W9DYBDS	1.00
B01FQUHACY	B00YS65KTS	1.00
B07BR6RMYS	B015GPJF2C	0.50
B00OQ7R9DE	B008DD5114	0.67
B019NGYG2E	B00BMDAEHS	1.00
B00UM239Y0	B0030552C8	0.67
B004AI3XUM	B003A8H7NW	1.00
B002UDUPP0	B07BR6RMYS	0.50
B00W9DYBDS	B002YAGIOG	1.00
B00IMSWSZ2	B07BR6RMYS	0.67
B002UDUPP0	B00LCVVDOI	0.83
B07C9RTFWS	B01LQP6VTG	0.67
B00NVKOEV2	B07JKZR4BP	0.67
B004GGU9QY	B07D1TRJ94	1.00
B07LBZVCQT	B076QJBZ9B	0.67
B00IP8Q9KE	B002N3CE0Q	0.67
B00IP8Q9KE	B00BZ5S9QG	0.67
B01KBF01FM	B074MNNW5T	1.00
B07BT98MVN	B000000XB8	1.00
B00004U3SS	B002B57MA8	1.00
B003A7PB5Y	B07CRWD727	0.67
B00BMDAEHS	B002B4EAZY	0.67
B00P2D5U7I	B01LF76SJS	1.00
B07BR6RMYS	B07LBZVCQT	0.50
B002N3CE0Q	B000YPMJF0	0.67
B009A882D0	B001RNO30W	1.00
B07BRDZVK2	B001RNO30W	1.00
B076QJBZ9B	B00BG34G3C	1.00
B00BZ5S9TI	B002B57MA8	0.67
B00W9DYAIY	B003AIKE6E	1.00
B00W9DYAIY	B01D10RT22	1.00
B013Y79ZJ2	B00WO3ML6C	1.00
B07C54FVYJ	B00BG34G3C	1.00
B07C54FVYJ	B00001TOXD	1.00
B075FY33QD	B07JHBBGQ9	1.00
B0765CR135	B00T6JFPBK	1.00
B00JMBDN8O	B001EVXRE0	0.67
B01LX9T2O1	B003AIKE3C	1.00
B06XRSGM2R	B008DD5114	0.67
B003QHZAKO	B00IP8Q9KE	1.00
B01EV7JN5K	B003A7PB5Y	1.00
B07FSNQKQ4	B01N7Y4TRR	1.00
B07JKZR4BP	B01LQP6VTG	0.75
B01HNOIS4A	B01LX9T2O1	1.00
B07BP31RLV	B00MDU0XCA	1.00
B07CRWD727	B00I5RKX02	1.00
B00IMSWSZ2	B00BG34FKG	1.00
B00J9C5US2	B00IKCMPB2	1.00
B00004U3SS	B001E2R2M2	1.00
B074MNNW5T	B01C7YZN1C	0.67
B0089B1YSE	B00J4JWL4G	1.00
B07KGHWV65	B000H3T5HO	1.00
B01NAZEPPF	B0089B1YSE	1.00
B07KGHWV65	B00001TOXD	1.00
B00IKCMPAS	B074N78SXG	1.00
B07CRWD727	B00F8JH15U	1.00
B00IYP3E9W	B001M5CSW0	1.00
B015GPJF2C	B000H3T5HO	1.00
B005TS13Y0	B01LX9T2O1	1.00
B00JMBDN8O	B00KQF64EU	0.67
B00P2D5U7I	B00318CBS2	1.00
B00OQ7R9DE	B01FI68VQA	0.67
B000YPMJF0	B00BG34FKG	1.00
B003QHZDW4	B07C9RTFWS	0.67
B074MNNW5T	B003E8ZORY	1.00
B003S3SPZS	B001E2R2M2	1.00
B074MNNW5T	B016C9GLBY	1.00
B00001TOXD	B07JKZR4BP	0.50
B00TDNNUMK	B00NVKOEV2	1.00
B074MNNW5T	B01FQUHACY	0.67
B01H5RFYT2	B003IC4W6A	1.00
B009A882D0	B07D1TRJ94	1.00
B000A0UO0G	B000H3T5HO	1.00
B075FY33QD	B00YD39QS2	1.00
B07BRDZVK2	B07D1TRJ94	1.00
B008DD510A	B07J4VF2C8	0.67
B00JMBDN8O	B004661X8W	0.67
B00IYP3E9W	B0006GK6YS	1.00
B00OQ7R9DE	B01C7YZN1C	0.67
B015GPJF2C	B000H3NRPK	1.00
B00W9DYBDS	B01LX9T2O1	1.00
B00T6J4IQI	B003IC4W6A	1.00
B01NAZEPPF	B01NC0KC30	1.00
B003QHZDW4	B00IMSWSZ2	1.00
B07BT98MVN	B003AIKE3C	1.00
B003E8ZORY	B06WW5SZLV	1.00
B00WO3ML6C	B016C9GLBY	1.00
B01IVEI1WA	B008DD510A	1.00
B000000XB8	B01HNOIS4A	1.00
B003A8H7NW	B004AI3XUM	1.00
B002YAGIOG	B07BT98MVN	1.00
B000H3T5HO	B00BG34FKG	0.86
B004661X8W	B00JMBDTWO	1.00
B015GPJF2C	B00NVKOEV2	0.67
B01NC0KC30	B01BVF5CN2	1.00
B00OQ7R9DE	B01FQUHACY	0.67
B0030552C8	B0089B1YSE	1.00
B00BJH4NWO	B00BG34FKG	1.00
B00236ZCMK	B003ITL74S	0.60
B002YAGIOG	B007P28FN0	1.00
B07JKZR4BP	B07KGHTC97	0.50
B00ZPFA8T8	B07532QVC5	1.00
B004GGU9QY	B00318CBS2	1.00
B001V51SIG	B011W56OXS	1.00
B007FPQ3TU	B007FPQ3SQ	1.00
B000PLTLNG	B001EVXRE0	0.67
B003AIKE3C	B003AIKE6E	1.00
B0087UKLR2	B07BR6RMYS	0.67
B003AIKE3C	B01D10RT22	1.00
B01FQUHACY	B003A7PB5Y	1.00
B00BJH25Y2	B00BZ5PE64	1.00
B07BRDZVK2	B07CM33RK6	1.00
B01EV7JN5K	B01ENRXHLO	0.67
B00JMBDN8O	B003QHZARM	0.67
B00BG34FKG	B00BZ5S9TI	0.50
B0042ZG2K6	B00001TOXD	0.67
B00TDNNUMK	B000H3T5HO	1.00
B00BZ5S9QG	B00BMDAEHS	0.67
B06XRSGM2R	B01C7YZN1C	0.67
B07CM33RK6	B007KFQ3E0	1.00
B07C54FVYJ	B00IP8Q9KE	1.00
B00IKCMPAS	B01NAZENBS	1.00
B00W9DYAIY	B01LX9T2O1	1.00
B00WO3ML6C	B07C27N7WM	0.67
B003QHZAKO	B000H3T5HO	1.00
B003AIKE6E	B004GGU9QY	1.00
B003AIKE3C	B002YAGIOG	1.00
B00W9DYAIY	B001RNO30W	1.00
B01N7Y4TRR	B07FSNQKQ4	0.67
B007P28FN0	B01LX9T2O1	1.00
B06WW5SZLV	B01I5QJDZ8	0.67
B00BG34FKG	B015GPJF2C	0.50
B00IKCMPB2	B015LYRCFK	1.00
B07BSV262S	B014DPDHCA	0.67
B00WO3ML6C	B00T6JFPBK	0.67
B00OQ7R9DE	B01FR8IDFI	1.00
B002YAGIOG	B00W9DYAIY	1.00
B0030552C8	B01NC0KC30	1.00
B06XRSGM2R	B016C9GLBY	1.00
B01HNOIS4A	B004GGU9QY	1.00
B01EV7JN5K	B008DD51O6	1.00
B003QHZDW4	B00BZ5S9TI	0.67
B00IKCMPAS	B01NAZEPPF	1.00
B015GPJF2C	B07BP31RLV	0.67
B00T6J4IQI	B06XRSGM2R	1.00
B00TDNNUMK	B00236ZCMK	1.00
B01KWX8NU8	B07JKZR4BP	0.67
B00NVKOEV2	B00001TOXD	1.00
B07B7L8C6K	B004AI3XUM	0.67
B00J4JWL4G	B00MHTCLYA	0.67
B00318CBS2	B07BT98MVN	1.00
B07D1TRJ94	B00KX22PBC	0.83
B0042U3F6A	B001E2R2M2	1.00
B003QHZARM	B000PLTLNG	1.00
B00318CBS2	B007P28FN0	1.00
B000H3NRPK	B00BG34G3C	0.83
B07KGHTC97	B00IMSWSZ2	1.00
B0089B1YSE	B00IKCMPB2	1.00
B005TS13Y0	B004GGU9QY	1.00
B00BZ5S9TI	B000H3T5HO	1.00
B00BG34G3C	B00BZ5S9TI	0.50
B01D10RT22	B001RNO30W	1.00
B000A0UO0G	B0042U3F6A	0.50
B00BJH25Y2	B00BG34G3C	1.00
B002UDUPP0	B07JKZR4BP	0.67
B00YD39QS2	B00JMBDTWO	1.00
B01M3R75G6	B001SES07C	1.00
B008DD510A	B00T6J4IQI	0.67
B002YAGIOG	B005TS13Y0	1.00
B016C9GLBY	B01KBF01FM	0.67
B00IMSWSZ2	B07C54FVYJ	0.67
B00YD39QS2	B00R9X97YG	1.00
B00BG34G3C	B015GPJF2C	0.50
B007P28FN0	B005TS13Y0	1.00
B00BZ5S9TI	B000H3NRPK	1.00
B00W9DYBDS	B004GGU9QY	1.00
B00KX22PBC	B07BT98MVN	1.00
B01IVEI1WA	B074MNNW5T	1.00
B000H67LEA	B00322XV8Q	0.50
B00BJH3JT2	B00BG34FKG	1.00
B00IKCMPAS	B00J9C5US2	1.00
B008DD5114	B01C7YZN1C	1.00
B003C1CCOQ	B003O68F0O	1.00
B012S37HQ6	B001RNO30W	1.00
B07BRDZVK2	B00318CBS2	1.00
B00318CBS2	B00W9DYAIY	1.00
B00IP8Q9KE	B00NVKOEV2	0.67
B00UM239Y0	B00J9C5US2	0.67
B00BZ5S9TI	B00236ZCMK	1.00
B00KQF4VZY	B004AI3XUM	0.67
B01KBF01FM	B003E8ZORY	1.00
B00R9X97YG	B001EVXRE0	1.00
B07GB8PQYH	B001E2R2M2	1.00
B00284B0AK	B07532QVC5	1.00
B01KBF01FM	B016C9GLBY	1.00
B000WCSAN0	B07GB8PQYH	1.00
B002YAGIOG	B013O1T4NA	1.00
B07C9RTFWS	B00BG34G3C	0.67
B00KX22PBC	B007KFQ3E0	1.00
B074MNNW5T	B07J4VF2C8	0.67
B00322XV8Q	B000H67LEA	1.00
B01FQUHACY	B01KU4LRW0	1.00
B007P28FN0	B013O1T4NA	1.00
B0765CR135	B008DD510A	1.00
B0042U3F6A	B00BM5RUNM	0.67
B00MDU0XCA	B002UDUPP0	1.00
B00J4JWL4G	B01C8MOSSC	0.67
B001RNO30W	B005TS13Y0	1.00
B008DD510A	B00T6JFPBK	0.67
B00BJH25Y2	B003QHZDW4	1.00
B013O1T4NA	B005TS13Y0	1.00
B008DD5114	B01FQUHACY	1.00
B00FB3JHVO	B000PLTLNG	1.00
B07FXN39TM	B00BG34FKG	1.00
B01KWX8NU8	B00IP8Q9KE	0.50
B00JMBDTWO	B00JMBDN8O	1.00
B07C27N7WM	B01FR8IDFI	1.00
B003AIKE6E	B07BRDZVK2	1.00
B001M5CSW0	B0006GK6YS	1.00
B00T6JFPBK	B01ENRXHLO	1.00
B00BJH3JT2	B00NVKOEV2	1.00
B07D1TRJ94	B07BT98MVN	0.83
B00WFAGA7A	B00BZ5PE64	1.00
B000H67LEA	B07BR6RMYS	0.50
B003AIKE3C	B01LX9T2O1	1.00
B002YAGIOG	B00W9DYBDS	1.00
B001RNO30W	B07D1TRJ94	1.00
B001RNO30W	B013O1T4NA	1.00
B07CM33RK6	B00P2D5U7I	1.00
B00318CBS2	B005TS13Y0	1.00
B00ZPFA8T8	B000WNL1G2	1.00
B07C54FVYJ	B000H3T5HO	1.00
B06WW5SZLV	B00I5RKX02	0.67
B019NGYG2E	B00BJH25Y2	1.00
B01D10RT22	B07D1TRJ94	1.00
B01LQP6VTG	B001E2R2M2	1.00
B007KFQ3E0	B000000XB8	1.00
B00R9X97YG	B00KQF64EU	1.00
B01C7YZN1C	B008DD51O6	1.00
B01FR8IDFI	B008DD510A	1.00
B00GN3KC6U	B001E2R2M2	1.00
B013Y79ZJ2	B00F8JH15U	0.67
B06WW5SZLV	B01ENRXHLO	0.67
B06WW5SZLV	B00F8JH15U	0.67
B07532QVC5	B001M5CSW0	1.00
B074MNNW5T	B00YS65KTS	1.00
B01FR8IDFI	B01N2OZV41	0.67
B0056YN2CS	B07DC8BR3B	1.00
B00BZ5S9QG	B00BG34FKG	1.00
B00R9X97YG	B004661X8W	1.00
B0056YN2CS	B00009NQW1	1.00
B07C54FVYJ	B000H3NRPK	1.00
B002YAGIOG	B01LF76SJS	1.00
B00318CBS2	B013O1T4NA	1.00
B00YS65KTS	B00WO3ML6C	1.00
B01KU4LRW0	B074MN5RRD	0.67
B004AI3XUM	B00JMBDN8O	1.00
B003AIKE6E	B07C5F6YDF	1.00
B004661X8W	B075VFSLF2	1.00
B06WW5SZLV	B01IVEI1WA	0.67
B0087UHZ9O	B00BG34G3C	1.00
B013O1T4NA	B00W9DYBDS	1.00
B00I5RKX02	B06WW5SZLV	1.00
B00FB3JHVO	B00JMBDN8O	1.00
B001SES07C	B001RNO30W	1.00
B01FR8IDFI	B07CRWD727	0.67
B00NVKOEV2	B003VR4XH0	0.67
B0087UKLR2	B00BG34FKG	0.67
B07532QVC5	B0006GK6YS	1.00
B01ENRXHLO	B0765CR135	1.00
B00IKCMPB2	B00BIGBAEK	1.00
B001RNO30W	B07CM33RK6	1.00
B00WO3ML6C	B003IC4W6A	1.00
B00KQF64EU	B075VFSLF2	1.00
B003A7PB5Y	B016C9GLBY	1.00
B00004U3SS	B00236ZCMK	1.00
B000HG8XXS	B000H3T5HO	1.00
B01HNOIS4A	B07C5F6YDF	1.00
B00W9DYBDS	B07BRDZVK2	1.00
B012S37HQ6	B007KFQ3E0	1.00
B00236ZCMK	B002UDUPP0	1.00
B0089B1YSE	B01NAZEPPF	1.00
B000A0UO0G	B00BZ5S9QG	0.50
B00318CBS2	B00W9DYBDS	1.00
B00BZ5PE64	B019NGYG2E	1.00
B00BJH25Y2	B00IP8Q9KE	1.00
B003E8ZORY	B008DD5114	0.67
B06WW5SZLV	B008DD5114	0.67
B008DD510A	B07CRWD727	0.67
B005TS13Y0	B07C5F6YDF	1.00
B000HG8XXS	B000H3NRPK	1.00
B074QMGVML	B002UDUPP0	1.00
B015GPJF2C	B003QHZAKO	0.67
B00WFAGA7A	B00BG34FKG	1.00
B07BR6RMYS	B000H3NRPK	1.00
B00UM239Y0	B015LYRCFK	0.67
B00BZ5S9TI	B0087UHZ9O	0.67
B011W56OXS	B074MNNW5T	1.00
B000HG8XXS	B00236ZCMK	1.00
B003AIKE6E	B000000XB8	1.00
B01N2OZV41	B01FI68VQA	1.00
B00BG34FKG	B07BR6RMYS	0.50
B00KX22PBC	B00P2D5U7I	1.00
B009A882D0	B007KFQ3E0	1.00
B00009NQW1	B076BQDH8N	1.00
B00322XV8Q	B01C375RCI	1.00
B003A7PB5Y	B07C27N7WM	0.67
B00W9DYBDS	B07C5F6YDF	1.00
B016C9GLBY	B01ENRXHLO	0.67
B00LCVVDOI	B00001TOXD	1.00
B008DD51O6	B074MN5RRD	0.67
B003IC4W6A	B00I5RKX02	0.67
B013O1T4NA	B01M3R75G6	1.00
B003A7PB5Y	B00T6JFPBK	0.67
B00IP8Q9KE	B07KGHTC97	0.67
B002B4EAZY	B002N3CE0Q	1.00
B00NVKOEV2	B07KGHWV65	0.67
B003IC4W6A	B01EV7JN5K	1.00
B002N3CE0Q	B00GN3KC6U	0.67
B06XRSGM2R	B0765CR135	0.67
B00F8JH15U	B01KBF01FM	1.00
B00JMBDN8O	B003A8H7NW	0.67
B003AIKE3C	B004GGU9QY	1.00
B07BRDZVK2	B003AIKE6E	1.00
B001SES07C	B07D1TRJ94	1.00
B07BRDZVK2	B01D10RT22	1.00
B07J4VF2C8	B00T6JFPBK	1.00
B074MNNW5T	B00T6JFPBK	0.67
B00BZ5S9TI	B00MDU0XCA	1.00
B002UDUPP0	B00001TOXD	1.00
B00WO3ML6C	B06XRSGM2R	1.00
B00BZ5PE64	B00WFAGA7A	1.00
B011W56OXS	B001V51SIG	0.67
B00318CBS2	B01M3R75G6	1.00
B00JMBDN8O	B00JMBDTWO	0.67
B008DD5114	B07J4VF2C8	1.00
B07BXKYRN6	B0056YN2CS	1.00
B015GPJF2C	B002N3CE0Q	0.67
B003QHZAKO	B07C9RTFWS	1.00
B001RNO30W	B00318CBS2	1.00
B003IC4W6A	B01IVEI1WA	0.67
B01IVEI1WA	B00T6JFPBK	1.00
B01LX9T2O1	B07BT98MVN	1.00
B003ITL74S	B000H3NRPK	0.60
B00BG34G3C	B002B57MA8	0.50
B00009NQW1	B07BXKYRN6	1.00
B01D10RT22	B00318CBS2	1.00
B01ENRXHLO	B00YS65KTS	1.00
B007KFQ3E0	B012S37HQ6	1.00
B07C5F6YDF	B01LF76SJS	1.00
B00T6J4IQI	B00WO3ML6C	1.00
B003ITL74S	B00236ZCMK	0.60
B00W9DYBDS	B000000XB8	1.00
B001EVXRE0	B004661X8W	1.00
B07BP31RLV	B07BR6RMYS	1.00
B007KFQ3E0	B009A882D0	1.00
B002B57MA8	B00BG34G3C	1.00
B00TDNNUMK	B01KWX8NU8	1.00
B075VFSLF2	B004AI3XUM	0.67
B00OQ7R9DE	B00T6JFPBK	0.67
B07C9RTFWS	B00BJH4NWO	0.67
B00MDU0XCA	B07KGHTC97	0.50
B00YS65KTS	B01I5QJDZ8	0.67
B013Y79ZJ2	B01FI68VQA	0.67
B00IYP3E9W	B00MDU0X7A	1.00
B003E8ZORY	B01FI68VQA	0.67
B000H67LEA	B00004U3SS	0.50
B003QHZAKO	B01KWX8NU8	1.00
B000PLTLNG	B00JMBDN8O	1.00
B00BZ5S9QG	B0042ZG2K6	0.67
B00OQ7R9DE	B01ENRXHLO	0.67
B008DD51O6	B01KBF01FM	0.67
B01KBF01FM	B00YS65KTS	1.00
B01BVF5CN2	B015LYRCFK	1.00
B000PLTLNG	B004661X8W	0.67
B07CM33RK6	B002YAGIOG	1.00
B013Y79ZJ2	B01C7YZN1C	0.67
B074MNNW5T	B003A7PB5Y	1.00
B019NGYG2E	B07JKZR4BP	1.00
B003E8ZORY	B01C7YZN1C	0.67
B07LBZVCQT	B00GN3KC6U	0.67
B01LX9T2O1	B00W9DYAIY	1.00
B07BR6RMYS	B000H67LEA	0.50
B01IVEI1WA	B003E8ZORY	1.00
B06WW5SZLV	B01C7YZN1C	0.67
B01IVEI1WA	B016C9GLBY	1.00
B07JKZR4BP	B002UDUPP0	1.00
B002KJ3A74	B00BZ5S9QG	0.67
B00BJH25Y2	B00001TOXD	1.00
B01EV7JN5K	B00T6J4IQI	0.67
B008DD5114	B0765CR135	1.00
B07KGHWV65	B00LCVVDOI	1.00
B00F8JH15U	B011W56OXS	1.00
B01C8MOSSC	B00BIGBAEK	1.00
B000000XB8	B001RNO30W	1.00
B015GPJF2C	B002KJ3A74	0.67
B00MHTCLYA	B007L016BO	1.00
B003E8ZORY	B016C9GLBY	1.00
B003S3SPZS	B003QHZAKO	1.00
B00BZ5S9TI	B01KWX8NU8	1.00
B003E8ZORY	B01FQUHACY	0.67
B003A8H7NW	B00YD39QS2	1.00
B01HNOIS4A	B003AIKE3C	1.00
B07D1TRJ94	B01M3R75G6	0.83
B01ENRXHLO	B074MNNW5T	1.00
B00BJH4NXS	B00001TOXD	1.00
B01FI68VQA	B008DD5114	1.00
B01LX9T2O1	B01HNOIS4A	1.00
B00OQ7R9DE	B01H5RFYT2	1.00
B07BT98MVN	B007P28FN0	1.00
B003IC4W6A	B00OQ7R9DE	1.00
B003AIKE3C	B07BRDZVK2	1.00
B07KGHWV65	B002UDUPP0	1.00
B01H5RFYT2	B06WW5SZLV	1.00
B002N3CE0Q	B01LQP6VTG	0.67
B00318CBS2	B002YAGIOG	1.00
B000H3NRPK	B001E2R2M2	1.00
B011W56OXS	B01KBF01FM	0.67
B019NGYG2E	B000H3NRPK	1.00
B00T6J4IQI	B06WW5SZLV	1.00
B00T6JFPBK	B00YS65KTS	1.00
B004661X8W	B07JHBBGQ9	1.00
B0089B1YSE	B01BVF5CN2	1.00
B01H5RFYT2	B008DD510A	1.00
B00KX22PBC	B003AIKE6E	1.00
B003QHZAKO	B015GPJF2C	1.00
B00KX22PBC	B01D10RT22	1.00
B016C9GLBY	B0765CR135	0.67
B007L016BO	B00MHTCLYA	1.00
B01N8VPAQG	B00IYP3E9W	1.00
B013Y79ZJ2	B01FR8IDFI	1.00
B00BZ5PE64	B07JKZR4BP	1.00
B01KBF01FM	B06XRSGM2R	1.00
B07C54FVYJ	B07C9RTFWS	1.00
B07BRDZVK2	B01LX9T2O1	1.00
B001SES07C	B00318CBS2	1.00
B06WW5SZLV	B01FR8IDFI	1.00
B01H5RFYT2	B01N2OZV41	0.67
B00W9DYBDS	B003AIKE3C	1.00
B07BT98MVN	B00W9DYAIY	1.00
B0089B1YSE	B00UM239Y0	1.00
B007FPQ3TU	B0009S6TJY	1.00
B074N78SXG	B0030552C8	1.00
B01I5QJDZ8	B074MN5RRD	1.00
B07C27N7WM	B01EV7JN5K	1.00
B003A7PB5Y	B0765CR135	0.67
B00IKCMPB2	B07CKZVG19	1.00
B06XRSGM2R	B003A7PB5Y	1.00
B003AIKE3C	B07C5F6YDF	1.00
B00KX22PBC	B002YAGIOG	1.00
B019NGYG2E	B00IMSWSZ2	1.00
B07B7L8C6K	B00YD39QS2	0.67
B074QMGVML	B00BJH3JVA	1.00
B07JKZR4BP	B07LBZVCQT	0.75
B00GN3KC6U	B00236ZCMK	1.00
